,Organization Group,Department,Job Family,Job,Salary,Overtime,Benefits,Total Compensation
40732,General Administration & Finance,Administrative Services,Journeyman Trade,Stationary Engineer,111917.0,29565.0,46490.0,187972.0
36666,Culture & Recreation,Fine Arts Museum,Journeyman Trade,Stationary Engineer,97406.0,36.0,42868.0,140311.0
18274,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Semi-Skilled & General Labor,Track Maintenance Worker,79123.0,36465.0,39836.0,155424.0
10615,"Public Works, Transportation & Commerce",Building Inspection,Public Safety Inspection,Plumbing Inspector,136102.0,1004.0,56028.0,193134.0
2096,Public Protection,Fire Department,Fire Services,Firefighter,126678.0,6248.0,28100.0,161025.0
38935,Culture & Recreation,Recreation And Park Commission,Recreation,Swimming Instr/Pool Lifeguard,24872.0,0.0,14427.0,39299.0
5013,Public Protection,Police,Police Services,Police Officer,112219.0,18189.0,39446.0,169854.0
20354,"Public Works, Transportation & Commerce",Public Utilities Commission,Information Systems,IS Engineer-Senior,161457.0,0.0,55841.0,217298.0
33801,Community Health,Public Health,Nursing,Registered Nurse,159935.0,2336.0,58944.0,221216.0
3753,Public Protection,Public Defender,Legal & Court,Legal Assistant,96591.0,0.0,42341.0,138932.0
10701,"Public Works, Transportation & Commerce",Building Inspection,Construction Inspection,Permit Technician II,71983.0,0.0,35537.0,107520.0
1797,Public Protection,Fire Department,Fire Services,Firefighter,136633.0,14601.0,44049.0,195284.0
27923,Community Health,Public Health,Medical & Dental,Senior Physician Specialist,254601.0,0.0,81010.0,335611.0
30300,Community Health,Public Health,Housekeeping & Laundry,Porter,64500.0,6453.0,35563.0,106516.0
19972,"Public Works, Transportation & Commerce",Port,Journeyman Trade,Plumber,120849.0,1600.0,52050.0,174499.0
24202,Human Welfare & Neighborhood Development,Human Services,Human Services,HSA Sr Eligibility Worker,89658.0,84.0,40256.0,129998.0
22132,"Public Works, Transportation & Commerce",Public Utilities Commission,Semi-Skilled & General Labor,General Laborer,71932.0,17015.0,35209.0,124156.0
34210,Community Health,Public Health,Nursing,Registered Nurse,51502.0,995.0,12309.0,64806.0
10031,"Public Works, Transportation & Commerce",Airport Commission,Housekeeping & Laundry,Custodian,18272.0,1370.0,10570.0,30213.0
20038,"Public Works, Transportation & Commerce",Port,Management,Manager I,129991.0,1.0,56576.0,186568.0
38296,Culture & Recreation,Recreation And Park Commission,Agriculture & Horticulture,Gardener,37368.0,0.0,16663.0,54031.0
57,Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113938.0,5529.0,54263.0,173730.0
27069,Community Health,Public Health,Hospital Administration,Health Care Analyst,42196.0,0.0,12627.0,54823.0
43226,General Administration & Finance,Human Resources,Legal & Court,Worker's Compensation Adjuster,99714.0,0.0,43080.0,142794.0
38068,Culture & Recreation,Recreation And Park Commission,Journeyman Trade,Truck Driver,98018.0,17081.0,30088.0,145187.0
39540,Culture & Recreation,Recreation And Park Commission,Recreation,Recreation Leader,18040.0,0.0,1400.0,19440.0
8213,Public Protection,Sheriff,Legal & Court,Senior Legal Process Clerk,64240.0,5258.0,31208.0,100706.0
1145,Public Protection,Dept of Emergency Management,Management,Manager II,141355.0,1111.0,57364.0,199830.0
17449,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,84526.0,12987.0,40483.0,137996.0
10020,"Public Works, Transportation & Commerce",Airport Commission,Housekeeping & Laundry,Custodian,62605.0,377.0,31206.0,94189.0
38163,Culture & Recreation,Recreation And Park Commission,Agriculture & Horticulture,Gardener,75314.0,441.0,35088.0,110844.0
41487,General Administration & Finance,Administrative Services,Housekeeping & Laundry,Custodial Assistant Supervisor,75427.0,1673.0,36373.0,113473.0
648,Public Protection,Trial Courts,Untitled,Deputy Court Clerk III,73943.0,0.0,37929.0,111873.0
37312,Culture & Recreation,Public Library,Library,Library Assistant,72234.0,0.0,35476.0,107709.0
29235,Community Health,Public Health,"Lab, Pharmacy & Med Techs",Pharmacy Technician,78424.0,573.0,32985.0,111982.0
9816,"Public Works, Transportation & Commerce",Airport Commission,Housekeeping & Laundry,Custodian,30934.0,1414.0,17468.0,49815.0
29246,Community Health,Public Health,"Lab, Pharmacy & Med Techs",Pharmacy Technician,94832.0,1.0,41505.0,136338.0
26612,Community Health,Public Health,Information Systems,Information Systems Trainee,62589.0,0.0,34437.0,97026.0
30482,Community Health,Public Health,Management,Manager I,134415.0,0.0,54663.0,189078.0
8149,Public Protection,Sheriff,Correction & Detention,Sheriff's Lieutenant,170604.0,39379.0,79483.0,289466.0
347,Public Protection,Trial Courts,Untitled,Court Reporter,116373.0,0.0,50966.0,167338.0
22788,"Public Works, Transportation & Commerce",Public Utilities Commission,Public Service Aide,PS Aide to Prof,18435.0,0.0,1431.0,19866.0
29304,Community Health,Public Health,"Lab, Pharmacy & Med Techs",Diagnostic Imaging Assistant,39780.0,4753.0,20339.0,64871.0
30854,Community Health,Public Health,Human Services,Hospital Eligibility Worker,66271.0,33.0,34852.0,101155.0
8964,"Public Works, Transportation & Commerce",Airport Commission,"Clerical, Secretarial & Steno",Executive Secretary 2,95270.0,0.0,40941.0,136211.0
2220,Public Protection,Fire Department,Fire Services,Firefighter,130534.0,357.0,44120.0,175012.0
25996,Human Welfare & Neighborhood Development,Human Services,"Budget, Admn & Stats Analysis",Management Assistant,82768.0,0.0,38307.0,121075.0
903,Public Protection,District Attorney,Legal & Court,Attorney (Civil/Criminal),150804.0,0.0,57106.0,207910.0
27157,Community Health,Public Health,Med Therapy & Auxiliary,Occupational Therapist,66408.0,0.0,28700.0,95108.0
25722,Human Welfare & Neighborhood Development,Human Services,"Clerical, Secretarial & Steno",Senior Clerk,65258.0,12.0,33097.0,98366.0
10881,"Public Works, Transportation & Commerce",Department Of Public Works,Information Systems,IS Project Director,33048.0,0.0,12850.0,45898.0
32963,Community Health,Public Health,Nursing,Registered Nurse,99262.0,8243.0,38868.0,146373.0
20065,"Public Works, Transportation & Commerce",Port,Management,Dep Dir III,237994.0,0.0,77885.0,315879.0
23985,Human Welfare & Neighborhood Development,Human Services,Human Services,Human Services Technician,67656.0,0.0,34085.0,101741.0
18099,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,46055.0,3523.0,22109.0,71687.0
27190,Community Health,Public Health,Med Therapy & Auxiliary,Physical Therapist,127994.0,0.0,50041.0,178035.0
22382,"Public Works, Transportation & Commerce",Public Utilities Commission,"Clerical, Secretarial & Steno",Executive Secretary 1,85028.0,7.0,38765.0,123800.0
41443,General Administration & Finance,Administrative Services,Housekeeping & Laundry,Custodian,36050.0,72.0,18439.0,54562.0
35643,Community Health,Public Health,Nursing,Special Nurse,106638.0,21846.0,4074.0,132559.0
21303,"Public Works, Transportation & Commerce",Public Utilities Commission,"Clerical, Secretarial & Steno",Meter Reader,69302.0,434.0,36441.0,106176.0
5940,Public Protection,Police,Police Services,Police Officer 3,137176.0,767.0,43534.0,181476.0
13466,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,116192.0,0.0,47219.0,163411.0
2742,Public Protection,Fire Department,Fire Services,EMT/Paramedic/Firefighter,147909.0,27621.0,50295.0,225825.0
18337,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,"Manager IV, MTA",145441.0,0.0,57957.0,203398.0
24802,Human Welfare & Neighborhood Development,Human Services,Human Services,Program Specialist,95587.0,431.0,41780.0,137798.0
34615,Community Health,Public Health,Nursing,Anesthetist,269603.0,3503.0,82675.0,355781.0
32114,Community Health,Public Health,Med Therapy & Auxiliary,Health Worker 2,62271.0,40.0,34107.0,96418.0
37764,Culture & Recreation,Public Library,Library,Librarian 2,108329.0,0.0,45441.0,153770.0
40388,Culture & Recreation,War Memorial,Journeyman Trade,Stationary Engineer,88548.0,13416.0,34405.0,136369.0
8727,"Public Works, Transportation & Commerce",Airport Commission,Professional Engineering,Assoc Engineer,134188.0,0.0,50278.0,184466.0
9157,"Public Works, Transportation & Commerce",Airport Commission,Journeyman Trade,Truck Driver,84116.0,731.0,29155.0,114002.0
16708,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,81759.0,34899.0,41061.0,157719.0
25197,Human Welfare & Neighborhood Development,Human Services,Human Services,Protective Services Worker,105920.0,0.0,43971.0,149890.0
42924,General Administration & Finance,Ethics Commission,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,113209.0,0.0,46668.0,159877.0
40461,Culture & Recreation,War Memorial,Protection & Apprehension,Supv Bldg Grounds Patrol Ofcr,78163.0,13980.0,37444.0,129587.0
13823,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Professional Engineering,Transportation Planner IV,132580.0,0.0,50822.0,183402.0
21814,"Public Works, Transportation & Commerce",Public Utilities Commission,Journeyman Trade,"Sr. Stationary Eng, Sew Plant",124282.0,23125.0,51764.0,199172.0
14879,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Trans Safety Specialist,137116.0,17749.0,53368.0,208233.0
33166,Community Health,Public Health,Nursing,Registered Nurse,142172.0,11894.0,49848.0,203915.0
9697,"Public Works, Transportation & Commerce",Airport Commission,Housekeeping & Laundry,Custodian,66037.0,1517.0,33730.0,101284.0
41613,General Administration & Finance,Administrative Services,Park & Zoo,Animal Care Attendant,32901.0,1.0,18285.0,51187.0
15563,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,81694.0,6448.0,39018.0,127160.0
35801,Community Health,Public Health,Nursing,Special Nurse,175412.0,18066.0,11309.0,204787.0
7838,Public Protection,Sheriff,Correction & Detention,Senior Deputy Sheriff,139248.0,12294.0,66603.0,218145.0
21266,"Public Works, Transportation & Commerce",Public Utilities Commission,Personnel,Human Resources Analyst,27892.0,0.0,6912.0,34804.0
4309,Public Protection,Police,"Budget, Admn & Stats Analysis",Administrative Analyst,83772.0,0.0,38588.0,122360.0
8310,Public Protection,Sheriff,Correction & Detention,Sheriff's Cadet,52348.0,2192.0,16490.0,71029.0
3829,Public Protection,Public Defender,Legal & Court,Attorney (Civil/Criminal),211484.0,0.0,70002.0,281486.0
33920,Community Health,Public Health,Nursing,Registered Nurse,131716.0,2030.0,48887.0,182633.0
5816,Public Protection,Police,Police Services,Police Officer 3,136042.0,2756.0,41936.0,180734.0
27749,Community Health,Public Health,Medical & Dental,Physician Specialist,203159.0,0.0,68096.0,271255.0
24671,Human Welfare & Neighborhood Development,Human Services,Human Services,Eligibility Worker Supervisor,97272.0,478.0,42521.0,140271.0
33847,Community Health,Public Health,Nursing,Registered Nurse,156043.0,6975.0,58210.0,221229.0
31296,Community Health,Public Health,"Payroll, Billing & Accounting",Health Care Billing Clerk 1,56760.0,44.0,32050.0,88853.0
38055,Culture & Recreation,Recreation And Park Commission,Journeyman Trade,Truck Driver,50778.0,5837.0,22816.0,79430.0
30149,Community Health,Public Health,Housekeeping & Laundry,Porter,68546.0,3661.0,34611.0,106818.0
33402,Community Health,Public Health,Nursing,Registered Nurse,140677.0,5829.0,54205.0,200710.0
10003,"Public Works, Transportation & Commerce",Airport Commission,Housekeeping & Laundry,Custodian,68319.0,3025.0,33736.0,105080.0
43728,General Administration & Finance,Registrar,"Clerical, Secretarial & Steno",Clerk,16308.0,1533.0,1385.0,19226.0
36471,Community Health,Public Health,Nursing,Nurse Manager,186925.0,0.0,66630.0,253556.0
20275,"Public Works, Transportation & Commerce",Public Utilities Commission,Skilled Labor,Electrical Line Helper,76029.0,351.0,37702.0,114082.0
31947,Community Health,Public Health,Med Therapy & Auxiliary,Health Worker 1,31688.0,0.0,10055.0,41743.0
27472,Community Health,Public Health,Public Health,Health Educator,108278.0,0.0,44991.0,153269.0
5302,Public Protection,Police,Police Services,Police Officer 2,134214.0,5153.0,43598.0,182965.0
11200,"Public Works, Transportation & Commerce",Department Of Public Works,Professional Engineering,Engineer,144652.0,0.0,54288.0,198940.0
42985,General Administration & Finance,Human Resources,"Budget, Admn & Stats Analysis",Analyst Trainee,34224.0,0.0,10581.0,44805.0
16213,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,72850.0,18082.0,34708.0,125641.0
33392,Community Health,Public Health,Nursing,Registered Nurse,141584.0,0.0,53763.0,195348.0
14177,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Supervisory-Labor & Trade,Automotive Mechanic Sprv 1,140850.0,44502.0,56429.0,241780.0
21078,"Public Works, Transportation & Commerce",Public Utilities Commission,Community Development,Coord of Citizen Involvement,120767.0,0.0,47896.0,168663.0
1673,Public Protection,Fire Department,Fire Services,Firefighter,88750.0,9713.0,36698.0,135161.0
15700,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,82229.0,9811.0,38920.0,130960.0
23447,Human Welfare & Neighborhood Development,Human Services,Personnel,Human Resources Analyst,89203.0,0.0,38631.0,127834.0
207,Public Protection,Trial Courts,Untitled,"Counselor, Family Court Svc",114294.0,0.0,50895.0,165189.0
40887,General Administration & Finance,Administrative Services,Semi-Skilled & General Labor,General Laborer,63910.0,2678.0,33153.0,99742.0
41153,General Administration & Finance,Administrative Services,"Clerical, Secretarial & Steno",Principal Clerk,77723.0,5396.0,37192.0,120311.0
35532,Community Health,Public Health,Nursing,Special Nurse,66108.0,4481.0,13207.0,83796.0
22710,"Public Works, Transportation & Commerce",Public Utilities Commission,Public Service Aide,Publ Svc Aide-Asst to Prof,20097.0,352.0,1587.0,22036.0
29181,Community Health,Public Health,"Lab, Pharmacy & Med Techs",Pharmacy Technician,23532.0,0.0,1848.0,25380.0
23350,Human Welfare & Neighborhood Development,Human Services,"Payroll, Billing & Accounting",Accountant IV,129398.0,0.0,50698.0,180096.0
39488,Culture & Recreation,Recreation And Park Commission,Recreation,Recreation Leader,16843.0,334.0,1333.0,18511.0
16124,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,84283.0,14543.0,40132.0,138957.0
33523,Community Health,Public Health,Nursing,Registered Nurse,140036.0,16412.0,54216.0,210664.0
28859,Community Health,Public Health,Nursing,Psychiatric Technician,72234.0,5545.0,35685.0,113464.0
27819,Community Health,Public Health,Medical & Dental,Senior Physician Specialist,243955.0,0.0,78114.0,322069.0
25471,Human Welfare & Neighborhood Development,Human Services,Community Development,Employment & Training Spec 3,95035.0,1.0,41860.0,136896.0
30108,Community Health,Public Health,Housekeeping & Laundry,Porter,64379.0,2598.0,33350.0,100327.0
23935,Human Welfare & Neighborhood Development,Human Services,Management,Manager IV,170548.0,0.0,63594.0,234142.0
33449,Community Health,Public Health,Nursing,Registered Nurse,96789.0,4364.0,32033.0,133186.0
20584,"Public Works, Transportation & Commerce",Public Utilities Commission,"Lab, Pharmacy & Med Techs",Water Quality Technician,47453.0,1324.0,28435.0,77212.0
42515,General Administration & Finance,Controller,"Budget, Admn & Stats Analysis",Perf Analyst III Project Mgr,145434.0,0.0,54468.0,199902.0
3419,Public Protection,Fire Department,Fire Services,"Battalion Chief, Fire Suppress",229833.0,68676.0,69033.0,367542.0
32182,Community Health,Public Health,Med Therapy & Auxiliary,Health Worker 3,78908.0,20.0,37296.0,116224.0
15685,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,80149.0,21209.0,39960.0,141318.0
24210,Human Welfare & Neighborhood Development,Human Services,Human Services,HSA Sr Eligibility Worker,88388.0,0.0,39910.0,128298.0
9996,"Public Works, Transportation & Commerce",Airport Commission,Housekeeping & Laundry,Custodian,33060.0,994.0,10689.0,44743.0
18508,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,"Clerical, Secretarial & Steno",Senior Clerk,26754.0,0.0,23577.0,50331.0
25557,Human Welfare & Neighborhood Development,Human Services,Personnel,Senior Personnel Clerk,78511.0,2.0,36357.0,114871.0
22346,"Public Works, Transportation & Commerce",Public Utilities Commission,"Clerical, Secretarial & Steno",Senior Clerk Typist,70926.0,1.0,35057.0,105984.0
34129,Community Health,Public Health,Nursing,Registered Nurse,134603.0,320.0,55855.0,190779.0
30350,Community Health,Public Health,Public Health,Disease Control Investigator,80930.0,0.0,36681.0,117611.0
31585,Community Health,Public Health,Hospital Administration,Medical Records Clerk,73236.0,1955.0,36510.0,111700.0
4494,Public Protection,Police,Airport Operation,Community Police Services Aide,83680.0,6043.0,38999.0,128723.0
33262,Community Health,Public Health,Nursing,Registered Nurse,152217.0,0.0,58104.0,210321.0
37927,Culture & Recreation,Recreation And Park Commission,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,102650.0,0.0,43676.0,146326.0
30613,Community Health,Public Health,Management,Food Service Mgr Administrator,110622.0,102.0,50156.0,160881.0
42166,General Administration & Finance,City Attorney,Legal & Court,Attorney (Civil/Criminal),176177.0,3248.0,51415.0,230840.0
20679,"Public Works, Transportation & Commerce",Public Utilities Commission,Administrative-DPW/PUC,Sewage Treatment Plant Supt,156524.0,259.0,56974.0,213757.0
30285,Community Health,Public Health,Housekeeping & Laundry,Porter,61859.0,29789.0,36456.0,128104.0
6420,Public Protection,Police,Police Services,Police Officer 3,142841.0,51867.0,46338.0,241047.0
31225,Community Health,Public Health,"Clerical, Secretarial & Steno",Senior Clerk,52753.0,1.0,16647.0,69401.0
17812,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,76906.0,11156.0,38358.0,126420.0
16807,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,38222.0,1529.0,18150.0,57901.0
3519,Public Protection,Juvenile Court,Human Services,Social Worker,72056.0,0.0,35310.0,107366.0
1509,Public Protection,Fire Department,"Budget, Admn & Stats Analysis",Statistician,89755.0,0.0,39428.0,129183.0
25704,Human Welfare & Neighborhood Development,Human Services,"Clerical, Secretarial & Steno",Senior Clerk,59031.0,124.0,33368.0,92522.0
20840,"Public Works, Transportation & Commerce",Public Utilities Commission,Professional Engineering,Eng/Arch/Landscape Arch Sr,158770.0,0.0,57325.0,216095.0
21945,"Public Works, Transportation & Commerce",Public Utilities Commission,Journeyman Trade,Carpenter,38727.0,491.0,16878.0,56095.0
26702,Community Health,Public Health,Information Systems,IS Business Analyst-Senior,127852.0,0.0,50009.0,177861.0
29423,Community Health,Public Health,"Lab, Pharmacy & Med Techs",Medical Evaluations Assistant,68651.0,387.0,33810.0,102849.0
3987,Public Protection,Police,Information Systems,IT Operations Support Admin IV,114518.0,0.0,45300.0,159818.0
17769,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,34474.0,11648.0,16540.0,62661.0
18239,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Semi-Skilled & General Labor,Track Maintenance Worker,69014.0,6053.0,33157.0,108224.0
14569,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Supervisor,115052.0,16993.0,48121.0,180166.0
32040,Community Health,Public Health,Med Therapy & Auxiliary,Health Worker 2,50511.0,124.0,24716.0,75351.0
26900,Community Health,Public Health,"Payroll, Billing & Accounting",Accountant Intern,25874.0,0.0,12958.0,38832.0
30818,Community Health,Public Health,Human Services,Hospital Eligibility Worker,66621.0,5570.0,34434.0,106625.0
15922,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,44680.0,10376.0,25275.0,80330.0
16356,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,54102.0,3757.0,25941.0,83800.0
21571,"Public Works, Transportation & Commerce",Public Utilities Commission,Supervisory-Labor & Trade,"Chf Stationary Eng, Sew Plant",121312.0,2440.0,48016.0,171768.0
5478,Public Protection,Police,Police Services,Police Officer 2,132006.0,4125.0,44249.0,180380.0
28669,Community Health,Public Health,Nursing,Patient Care Assistant,59489.0,7367.0,34289.0,101145.0
36660,Culture & Recreation,Fine Arts Museum,Supervisory-Labor & Trade,Bldg & Grounds Maint Sprv,121200.0,7817.0,50165.0,179182.0
2012,Public Protection,Fire Department,Fire Services,Firefighter,142892.0,55.0,46453.0,189400.0
24387,Human Welfare & Neighborhood Development,Human Services,Human Services,HSA Sr Eligibility Worker,89294.0,2541.0,40358.0,132193.0
6286,Public Protection,Police,Police Services,Police Officer 3,136919.0,22295.0,44723.0,203938.0
32128,Community Health,Public Health,Med Therapy & Auxiliary,Health Worker 2,66018.0,24.0,33354.0,99395.0
9913,"Public Works, Transportation & Commerce",Airport Commission,Housekeeping & Laundry,Custodian,64379.0,1132.0,33227.0,98739.0
11911,"Public Works, Transportation & Commerce",Department Of Public Works,Supervisory-Labor & Trade,Street Environ Svcs Oprs Supv,110660.0,7014.0,45493.0,163167.0
25576,Human Welfare & Neighborhood Development,Human Services,"Clerical, Secretarial & Steno",Junior Clerk,47342.0,0.0,30151.0,77493.0
6855,Public Protection,Police,Police Services,Sergeant 3,159701.0,19932.0,50839.0,230472.0
36123,Community Health,Public Health,Nursing,Special Nurse,122798.0,4093.0,15387.0,142278.0
4623,Public Protection,Police,Airport Operation,Community Police Services Aide,75870.0,4353.0,36571.0,116794.0
22106,"Public Works, Transportation & Commerce",Public Utilities Commission,Semi-Skilled & General Labor,General Laborer,45321.0,2300.0,13714.0,61335.0
38289,Culture & Recreation,Recreation And Park Commission,Agriculture & Horticulture,Gardener,47603.0,544.0,19548.0,67695.0
21331,"Public Works, Transportation & Commerce",Public Utilities Commission,Supervisory-Labor & Trade,Utility Plumber Supervisor 1,146643.0,43110.0,55673.0,245425.0
31201,Community Health,Public Health,"Clerical, Secretarial & Steno",Senior Clerk,55971.0,0.0,32691.0,88663.0
42646,General Administration & Finance,City Planning,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,118182.0,0.0,47882.0,166064.0
14360,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Journeyman Trade,Automotive Mechanic,103815.0,5518.0,45826.0,155160.0
37546,Culture & Recreation,Public Library,Library,Librarian 1,95454.0,0.0,41794.0,137248.0
38625,Culture & Recreation,Recreation And Park Commission,Housekeeping & Laundry,Custodian,66755.0,13158.0,34907.0,114820.0
43202,General Administration & Finance,Human Resources,Legal & Court,Worker's Compensation Adjuster,68193.0,0.0,29290.0,97483.0
31908,Community Health,Public Health,Med Therapy & Auxiliary,Clinical Psychologist,110987.0,0.0,44230.0,155217.0
43966,General Administration & Finance,Retirement Services,"Budget, Admn & Stats Analysis",Assistant Retirement Analyst,93658.0,0.0,41245.0,134903.0
25689,Human Welfare & Neighborhood Development,Human Services,"Clerical, Secretarial & Steno",Clerk,46800.0,0.0,27266.0,74066.0
42478,General Administration & Finance,Controller,"Budget, Admn & Stats Analysis",Performance Analyst II,114878.0,0.0,47115.0,161993.0
28947,Community Health,Public Health,Nursing,Licensed Vocational Nurse,92402.0,49536.0,44392.0,186331.0
12335,"Public Works, Transportation & Commerce",Department Of Public Works,Human Services,Program Support Analyst,117197.0,0.0,47920.0,165117.0
32102,Community Health,Public Health,Med Therapy & Auxiliary,Health Worker 2,68965.0,40.0,34264.0,103269.0
11783,"Public Works, Transportation & Commerce",Department Of Public Works,Journeyman Trade,Carpenter,77305.0,72.0,34262.0,111639.0
7633,Public Protection,Sheriff,Correction & Detention,Deputy Sheriff,123289.0,143417.0,64683.0,331389.0
